iid,sub_class,model,n_turns,n_turns_extracted,tool_entropy_last10,n_tools_last10
pyutils__line_profiler.a646bf0f.func_pm_ctrl_invert_if__ktttf7lm,locked,gpt-5-router,8,8,2.4056390622295662,8
pyutils__line_profiler.a646bf0f.func_pm_class_rm_base__icmozd7m,locked,gpt-5-router,5,5,2.321928094887362,5
pyutils__line_profiler.a646bf0f.func_basic__r4uud43s,locked,gpt-5-router,10,9,2.197159723424149,9
pyutils__line_profiler.a646bf0f.func_pm_class_rm_funcs__hyzmkuza,locked,gpt-5-router,7,7,2.521640636343318,7
pyutils__line_profiler.a646bf0f.func_basic__5v2b20s7,locked,gpt-5-router,11,10,2.1709505944546685,10
pyutils__line_profiler.a646bf0f.combine_module__fzsjqzfw,locked,gpt-5-router,21,20,2.6464393446710153,10
pyutils__line_profiler.a646bf0f.combine_module__wuznbvco,locked,gpt-5-router,7,7,2.128085278891394,7
pyutils__line_profiler.a646bf0f.combine_file__7v8i4i2e,locked,gpt-5-router,13,13,2.121928094887362,10
pyupio__safety.7654596b.lm_rewrite__9y64mmlq,success,gpt-5-router,16,16,2.4130884364257574,11
pyupio__safety.7654596b.func_pm_remove_assign__i1hxi4g8,success,gpt-5-router,11,10,2.3219280948873626,10
pyupio__safety.7654596b.func_pm_ctrl_shuffle__btdtyji5,locked,gpt-5-router,14,14,2.321928094887362,10
pyupio__safety.7654596b.func_pm_remove_assign__vsp0t00p,success,gpt-5-router,9,9,2.4193819456463714,9
pyupio__safety.7654596b.func_pm_ctrl_invert_if__hzu8los8,success,gpt-5-router,12,12,1.6854752972273346,10
pyupio__safety.7654596b.func_pm_remove_assign__x4aiatq5,locked,gpt-5-router,31,31,2.2464393446710154,10
pyupio__safety.7654596b.func_pm_ctrl_shuffle__jj1ibqxc,locked,gpt-5-router,7,7,2.2359263506290326,7
pyupio__safety.7654596b.func_basic__kz2qiqb7,wandering,gpt-5-router,16,16,0.8812908992306927,10
pyupio__safety.7654596b.combine_module__i379udps,locked,gpt-5-router,26,26,1.295461844238322,10
python__mypy.e93f06ce.pr_16203,locked,gpt-5-router,21,21,1.8464393446710154,10
pyupio__safety.7654596b.combine_file__l7dfk3qw,locked,gpt-5-router,6,6,0.6500224216483541,6
pyupio__safety.7654596b.combine_module__85geju2j,wandering,gpt-5-router,22,22,0.4689955935892812,10
python__mypy.e93f06ce.pr_12951,locked,gpt-5-router,13,13,1.9609640474436814,10
python__mypy.e93f06ce.pr_16869,locked,gpt-5-router,22,22,2.5219280948873624,10
python__mypy.e93f06ce.pr_15976,locked,gpt-5-router,13,13,1.8676338909712125,11
python__mypy.e93f06ce.pr_12943,wandering,gpt-5-router,20,20,1.5709505944546687,10
python__mypy.e93f06ce.pr_16061,locked,gpt-5-router,19,19,1.9609640474436814,10
python__mypy.e93f06ce.pr_15184,locked,gpt-5-router,12,12,2.6464393446710153,10
python__mypy.e93f06ce.pr_11567,locked,gpt-5-router,16,16,2.0464393446710156,10
python__mypy.e93f06ce.pr_11135,locked,gpt-5-router,13,13,2.4464393446710155,10
python__mypy.e93f06ce.pr_10430,locked,gpt-5-router,17,17,1.7709505944546688,10
python__mypy.e93f06ce.pr_10424,wandering,gpt-5-router,27,27,1.6854752972273346,10
python-trio__trio.cfbbe2c1.lm_rewrite__cqmyn88x,success,gpt-5-router,11,10,2.4464393446710155,10
python-trio__trio.cfbbe2c1.func_basic__wv6m4k4m,success,gpt-5-router,13,13,1.867633890971212,11
python-trio__trio.cfbbe2c1.func_pm_ctrl_shuffle__cewmr5lv,success,gpt-5-router,12,12,1.8464393446710154,10
python-trio__trio.cfbbe2c1.func_pm_remove_cond__69tvxm16,success,gpt-5-router,9,9,2.3709505944546683,10
python-trio__trio.cfbbe2c1.combine_module__imtwngmi,locked,gpt-5-router,6,6,2.2516291673878226,6
python-trio__trio.cfbbe2c1.combine_file__le0mfnuc,locked,gpt-5-router,11,11,1.9609640474436814,10
python-trio__trio.cfbbe2c1.combine_file__jdu2qewm,success,gpt-5-router,10,10,2.046439344671015,10
python-trio__trio.cfbbe2c1.combine_module__ocs5zl4r,wandering,gpt-5-router,21,20,1.3709505944546687,10
python-trio__trio.cfbbe2c1.combine_file__a9rhn7v3,wandering,gpt-5-router,19,19,1.9609640474436814,10
python-trio__trio.cfbbe2c1.combine_file__eyb7bfo1,locked,gpt-5-router,17,17,2.321928094887362,10
python-openxml__python-docx.0cf6d71f.func_pm_ctrl_shuffle__4oi56tkk,success,gpt-5-router,8,8,2.5,8
python-openxml__python-docx.0cf6d71f.func_basic__h8pvhyj1,locked,gpt-5-router,15,15,1.1567796494470395,10
python-openxml__python-docx.0cf6d71f.func_basic__m3xsikl9,success,gpt-5-router,11,11,2.321928094887362,10
python-openxml__python-docx.0cf6d71f.func_basic__vcs8w3y2,locked,gpt-5-router,15,15,1.1567796494470395,10
python-openxml__python-docx.0cf6d71f.func_basic__c417yu7p,locked,gpt-5-router,9,9,1.224394445405986,9
python-openxml__python-docx.0cf6d71f.func_basic__6b4uas5b,success,gpt-5-router,5,5,2.321928094887362,5
python-openxml__python-docx.0cf6d71f.func_basic__r4r9znwt,locked,gpt-5-router,16,16,2.1709505944546685,10
python-openxml__python-docx.0cf6d71f.combine_file__2zh9xrkt,locked,gpt-5-router,16,15,1.3485878960124222,11
python-openxml__python-docx.0cf6d71f.combine_file__me30y2eg,locked,gpt-5-router,20,20,2.6464393446710153,10
python-openxml__python-docx.0cf6d71f.func_basic__0ndcueka,success,gpt-5-router,5,5,2.321928094887362,5
python-openxml__python-docx.0cf6d71f.func_basic__9b412biq,locked,gpt-5-router,13,13,1.6854752972273346,10
python-jsonschema__jsonschema.93e0caa5.lm_rewrite__t84wp6dj,success,gpt-5-router,13,13,1.7219280948873623,10
python-jsonschema__jsonschema.93e0caa5.lm_rewrite__mh43v9b9,success,gpt-5-router,14,14,1.3485878960124222,11
python-jsonschema__jsonschema.93e0caa5.func_basic__kpu132qt,success,gpt-5-router,11,11,2.1709505944546685,10
python-jsonschema__jsonschema.93e0caa5.lm_rewrite__4j2okju6,locked,gpt-5-router,25,25,2.121928094887362,10
python-jsonschema__jsonschema.93e0caa5.func_basic__9obmk3c1,success,gpt-5-router,6,6,2.2516291673878226,6
python-jsonschema__jsonschema.93e0caa5.func_pm_remove_cond__xorh16uh,success,gpt-5-router,9,9,2.4193819456463714,9
python-jsonschema__jsonschema.93e0caa5.func_basic__tn728ni5,locked,gpt-5-router,15,14,1.1567796494470395,10
python-jsonschema__jsonschema.93e0caa5.func_pm_ctrl_invert_if__8j2ed4cv,locked,gpt-5-router,8,8,1.5487949406953985,8
python-jsonschema__jsonschema.93e0caa5.func_pm_ctrl_shuffle__u7g3dhtp,success,gpt-5-router,6,6,2.251629167387823,6
python-jsonschema__jsonschema.93e0caa5.func_basic__o1vam9ys,success,gpt-5-router,7,6,1.4591479170272448,6
python-jsonschema__jsonschema.93e0caa5.func_pm_class_rm_funcs__f4vdfze1,locked,gpt-5-router,8,8,2.5,8
python-hyper__h11.bed0dd4a.lm_rewrite__h95g1zuz,success,gpt-5-router,7,7,1.8423709931771084,7
python-hyper__h11.bed0dd4a.func_pm_remove_assign__gl0jmonb,success,gpt-5-router,10,10,2.6464393446710153,10
python-hyper__h11.bed0dd4a.func_basic__x09iv0a5,success,gpt-5-router,7,7,2.5216406363433186,7
python-hyper__h11.bed0dd4a.func_basic__eaq97ng5,success,gpt-5-router,10,10,2.4464393446710155,10
python-hyper__h11.bed0dd4a.func_pm_op_swap__cvxkhr5f,success,gpt-5-router,9,9,2.6416041678685933,9
python-hyper__h11.bed0dd4a.func_pm_ctrl_shuffle__73bj7v1i,success,gpt-5-router,8,8,1.811278124459133,8
python-hyper__h11.bed0dd4a.func_basic__fu31k18n,success,gpt-5-router,6,6,2.584962500721156,6
python-hyper__h11.bed0dd4a.func_basic__cvw581mk,success,gpt-5-router,9,9,2.4193819456463714,9
python-hyper__h11.bed0dd4a.combine_file__5qwccxor,locked,gpt-5-router,13,13,2.321928094887362,10
python-hyper__h11.bed0dd4a.combine_file__9wljotoa,wandering,gpt-5-router,14,14,1.8585552118703144,11
python-hyper__h11.bed0dd4a.combine_file__lgxdnkmw,success,gpt-5-router,7,7,2.5216406363433186,7
pytest-dev__iniconfig.16793ead.func_pm_remove_cond__c7jiyain,success,gpt-5-router,9,9,2.113283334294875,9
pytest-dev__iniconfig.16793ead.lm_rewrite__7iv595zn,success,gpt-5-router,9,9,2.2810361125534233,9
pytest-dev__iniconfig.16793ead.func_basic__ljj7i7rd,success,gpt-5-router,8,8,2.4056390622295662,8
pytest-dev__iniconfig.16793ead.func_basic__fku2qhix,success,gpt-5-router,9,9,1.8910611120726526,9
pytest-dev__iniconfig.16793ead.combine_module__do756vkd,locked,gpt-5-router,13,13,2.0464393446710156,10
pytest-dev__iniconfig.16793ead.combine_module__qvvm0oht,locked,gpt-5-router,8,8,2.25,8
pytest-dev__iniconfig.16793ead.func_basic__a8yy3f3f,success,gpt-5-router,6,6,2.251629167387823,6
pytest-dev__iniconfig.16793ead.combine_file__mntnwwxj,success,gpt-5-router,8,8,2.1556390622295662,8
pytest-dev__iniconfig.16793ead.combine_module__4sbk1f6c,locked,gpt-5-router,6,6,2.2516291673878226,6
pytest-dev__iniconfig.16793ead.combine_module__t1rcs8jr,success,gpt-5-router,13,13,2.5503407095463886,11
pyparsing__pyparsing.533adf47.func_pm_remove_assign__8rti79rz,locked,gpt-5-router,18,18,1.7219280948873623,10
pytest-dev__iniconfig.16793ead.combine_file__8p3bls4q,success,gpt-5-router,7,6,1.7924812503605778,6
pyparsing__pyparsing.533adf47.func_basic__v73f1sjr,wandering,gpt-5-router,24,22,0.8812908992306927,10
pyparsing__pyparsing.533adf47.func_basic__j97w26ds,locked,gpt-5-router,14,14,0.9219280948873623,10
pyparsing__pyparsing.533adf47.func_basic__uwarnzxw,locked,gpt-5-router,8,8,2.4056390622295662,8
pyparsing__pyparsing.533adf47.func_basic__mj5n6jib,locked,gpt-5-router,18,18,1.3609640474436813,10
pyparsing__pyparsing.533adf47.func_basic__sk57zi2q,locked,gpt-5-router,15,15,2.4464393446710155,10
pylint-dev__astroid.b114f6b5.func_pm_ctrl_invert_if__sqi6fpdc,locked,gpt-5-router,28,28,2.1709505944546685,10
pyparsing__pyparsing.533adf47.combine_file__tvkuv9tc,locked,gpt-5-router,9,9,2.113283334294875,9
pylint-dev__astroid.b114f6b5.func_basic__zr2r8mvu,wandering,gpt-5-router,22,20,1.823067982273661,11
pyparsing__pyparsing.533adf47.combine_file__0mxfxgiy,locked,gpt-5-router,7,7,2.2359263506290326,7
pyparsing__pyparsing.533adf47.func_basic__9gtiexmb,success,gpt-5-router,16,16,1.7219280948873623,10
pyparsing__pyparsing.533adf47.func_basic__24wen05o,success,gpt-5-router,10,10,2.1709505944546685,10
pylint-dev__astroid.b114f6b5.func_basic__uiouqe9g,success,gpt-5-router,13,13,2.4464393446710155,10
pylint-dev__astroid.b114f6b5.func_basic__5ik5vys8,locked,gpt-5-router,9,9,2.0588138903312014,9
pylint-dev__astroid.b114f6b5.pr_2438,locked,gpt-5-router,14,14,2.446439344671015,10
pyparsing__pyparsing.533adf47.combine_file__h3dclzox,success,gpt-5-router,18,18,2.121928094887362,10
pylint-dev__astroid.b114f6b5.func_basic__klb3zjmk,locked,gpt-5-router,9,9,1.4466166676282082,9
pylint-dev__astroid.b114f6b5.func_basic__7odgflcv,locked,gpt-5-router,15,15,1.1567796494470395,10
pylint-dev__astroid.b114f6b5.func_basic__5cl4cexd,locked,gpt-5-router,9,9,2.4193819456463714,9
pygments__pygments.27649ebb.pr_2681,success,gpt-5-router,11,11,2.1180782093497093,11
pylint-dev__astroid.b114f6b5.combine_file__brumh3xz,wandering,gpt-5-router,23,22,0.9219280948873623,10
pygments__pygments.27649ebb.func_pm_remove_cond__v3dd5awt,wandering,gpt-5-router,17,17,1.5219280948873621,10
pygments__pygments.27649ebb.func_pm_class_rm_funcs__lzju6ni4,success,gpt-5-router,11,11,1.9609640474436814,10
pygments__pygments.27649ebb.func_pm_class_rm_funcs__ki2xmb82,success,gpt-5-router,18,18,1.6854752972273344,10
pygments__pygments.27649ebb.func_basic__rzz6x309,locked,gpt-5-router,19,18,1.1567796494470395,10
pygments__pygments.27649ebb.func_basic__6fcubccc,locked,gpt-5-router,11,11,1.1567796494470395,10
pygments__pygments.27649ebb.combine_file__a3rgfs5c,success,gpt-5-router,13,12,2.1709505944546685,10
pygments__pygments.27649ebb.func_basic__hlj74pbm,success,gpt-5-router,9,9,2.751629167387823,12
pygments__pygments.27649ebb.combine_file__3zhkehcy,locked,gpt-5-router,14,14,1.295461844238322,10
pygments__pygments.27649ebb.func_basic__ilmpn4rz,locked,gpt-5-router,7,7,2.2359263506290326,7
pydicom__pydicom.7d361b3d.func_basic__kgjyr39i,locked,gpt-5-router,16,16,0.4689955935892812,10
pydicom__pydicom.7d361b3d.func_pm_ctrl_shuffle__wdz1awg8,locked,gpt-5-router,12,12,2.446439344671015,10
pydicom__pydicom.7d361b3d.func_pm_remove_cond__fmszvrbr,locked,gpt-5-router,22,22,2.4464393446710155,10
pydicom__pydicom.7d361b3d.func_basic__h9m27ufh,locked,gpt-5-router,9,9,2.058813890331201,9
pydicom__pydicom.7d361b3d.combine_module__y0qp7nrq,locked,gpt-5-router,35,35,2.0464393446710156,10
pydicom__pydicom.7d361b3d.func_basic__nlbv021d,locked,gpt-5-router,10,10,2.6464393446710153,10
pydicom__pydicom.7d361b3d.func_basic__2smpcos9,wandering,gpt-5-router,16,16,0.9709505944546686,10
pydicom__pydicom.7d361b3d.func_basic__56fvsxre,locked,gpt-5-router,14,14,1.9609640474436814,10
pydicom__pydicom.7d361b3d.combine_file__s4mhm2io,wandering,gpt-5-router,13,13,1.8464393446710154,10
pydicom__pydicom.7d361b3d.func_basic__02b309zs,locked,gpt-5-router,7,6,2.2516291673878226,6
pydicom__pydicom.7d361b3d.combine_module__2us1473w,locked,gpt-5-router,21,21,1.6854752972273346,10
pydata__patsy.a5d16484.lm_rewrite__ndndciq0,locked,gpt-5-router,19,19,2.0464393446710156,10
pydata__patsy.a5d16484.func_pm_op_change__70k3t750,locked,gpt-5-router,9,9,2.6416041678685933,9
pydata__patsy.a5d16484.func_basic__qq8kg1xr,locked,gpt-5-router,17,17,1.7709505944546688,10
pydata__patsy.a5d16484.func_pm_remove_cond__rmfeknui,locked,gpt-5-router,15,15,1.8464393446710154,10
pydata__patsy.a5d16484.combine_file__nmsgzk5t,locked,gpt-5-router,11,11,2.1709505944546685,10
pydata__patsy.a5d16484.func_basic__ka0gylpu,wandering,gpt-5-router,11,11,0.8658566174572235,11
pydata__patsy.a5d16484.func_basic__wcndsz8v,locked,gpt-5-router,8,8,1.4056390622295665,8
pydata__patsy.a5d16484.func_pm_ctrl_invert_if__s9qdffco,locked,gpt-5-router,14,14,1.7219280948873623,10
pydantic__pydantic.acb0f10f.pr_4955,locked,gpt-5-router,6,6,2.2516291673878226,6
pydata__patsy.a5d16484.combine_file__awwj90hp,wandering,gpt-5-router,16,16,1.6854752972273344,10
pydantic__pydantic.acb0f10f.lm_rewrite__ypvtfu0g,locked,gpt-5-router,15,15,2.121928094887362,10
pydantic__pydantic.acb0f10f.pr_6326,locked,gpt-5-router,16,16,1.295461844238322,10
pydantic__pydantic.acb0f10f.func_pm_op_change__lhs5tpg9,locked,gpt-5-router,7,6,1.9182958340544893,6
pydantic__pydantic.acb0f10f.pr_6092,locked,gpt-5-router,12,12,2.0464393446710156,10
pydantic__pydantic.acb0f10f.combine_module__6gc8nyng,wandering,gpt-5-router,25,23,2.121928094887362,10
pydantic__pydantic.acb0f10f.combine_file__3zyo0bd6,locked,gpt-5-router,18,17,0.9219280948873623,10
pydantic__pydantic.acb0f10f.combine_module__vxkl488j,locked,gpt-5-router,22,21,1.1567796494470395,10
pydantic__pydantic.acb0f10f.pr_5689,locked,gpt-5-router,8,8,2.25,8
pydantic__pydantic.acb0f10f.combine_file__2iv7w6tl,locked,gpt-5-router,15,15,1.3567796494470397,10
pydantic__pydantic.acb0f10f.combine_module__60zcb2e0,locked,gpt-5-router,16,16,1.7219280948873623,10
pyca__pyopenssl.04766a49.func_basic__t4j4rw5t,locked,gpt-5-router,13,13,1.295461844238322,10
pyca__pyopenssl.04766a49.func_basic__7j8i1fgq,locked,gpt-5-router,15,15,1.3609640474436813,10
pyca__pyopenssl.04766a49.func_pm_op_change_const__nfp017br,locked,gpt-5-router,19,19,0.4689955935892812,10
pyca__pyopenssl.04766a49.func_basic__xrree1l1,locked,gpt-5-router,17,16,2.1609640474436813,10
pyca__pyopenssl.04766a49.func_basic__ms7lfwsx,locked,gpt-5-router,5,5,1.3709505944546687,5
pyca__pyopenssl.04766a49.func_basic__00qm0bog,locked,gpt-5-router,16,16,2.1709505944546685,10
pyca__pyopenssl.04766a49.combine_module__0pqi5dl1,locked,gpt-5-router,15,14,0.9219280948873623,10
pyca__pyopenssl.04766a49.combine_module__h1zquuxc,locked,gpt-5-router,11,11,2.4464393446710155,10
pyasn1__pyasn1.0f07d724.func_pm_ctrl_invert_if__a2ytww78,success,gpt-5-router,9,9,2.197159723424149,9
pyca__pyopenssl.04766a49.combine_module__9t9ktxoy,locked,gpt-5-router,16,16,2.1709505944546685,10
pyasn1__pyasn1.0f07d724.lm_rewrite__0817xugx,locked,gpt-5-router,13,13,2.0464393446710156,10
pyasn1__pyasn1.0f07d724.func_pm_class_rm_base__jpzcl3u0,success,gpt-5-router,8,8,2.75,8
pyasn1__pyasn1.0f07d724.func_basic__xjxxx4yk,success,gpt-5-router,11,11,2.8464393446710154,10
pyasn1__pyasn1.0f07d724.func_pm_op_break_chains__pk64p05h,success,gpt-5-router,7,6,2.584962500721156,6
pyasn1__pyasn1.0f07d724.func_basic__pcobjw9w,success,gpt-5-router,11,11,2.0464393446710156,10
pyasn1__pyasn1.0f07d724.func_basic__2qegd4mf,wandering,gpt-5-router,25,25,1.4854752972273344,10
pyasn1__pyasn1.0f07d724.func_basic__p83m6get,locked,gpt-5-router,9,9,2.2810361125534233,9
pyasn1__pyasn1.0f07d724.func_basic__i1vbs0fl,success,gpt-5-router,11,11,2.446439344671015,10
pyasn1__pyasn1.0f07d724.combine_file__2134i9hn,locked,gpt-5-router,12,12,2.6464393446710153,10
pyasn1__pyasn1.0f07d724.func_basic__1gtggchi,success,gpt-5-router,7,7,2.5216406363433186,7
pwaller__pyfiglet.f8c5f35b.lm_rewrite__gbxuh6a7,locked,gpt-5-router,21,20,2.321928094887362,10
pwaller__pyfiglet.f8c5f35b.func_basic__zh9g8b3e,locked,gpt-5-router,12,12,1.8676338909712125,11
pwaller__pyfiglet.f8c5f35b.func_pm_ctrl_shuffle__n7wjcwpl,locked,gpt-5-router,9,9,1.4466166676282082,9
pwaller__pyfiglet.f8c5f35b.func_pm_ctrl_invert_if__c3il7wrt,locked,gpt-5-router,15,15,0.4689955935892812,10
pwaller__pyfiglet.f8c5f35b.func_basic__kbelcvef,locked,gpt-5-router,11,11,2.4464393446710155,10
pwaller__pyfiglet.f8c5f35b.lm_rewrite__l2t3kb1j,locked,gpt-5-router,20,20,2.6464393446710153,10
pwaller__pyfiglet.f8c5f35b.func_basic__sjopxapv,locked,gpt-5-router,12,12,1.7219280948873623,10
pwaller__pyfiglet.f8c5f35b.func_pm_op_swap__4tsl9r61,locked,gpt-5-router,7,7,2.5216406363433186,7
pwaller__pyfiglet.f8c5f35b.combine_file__2cgpkgxe,locked,gpt-5-router,18,17,2.046439344671015,10
pwaller__pyfiglet.f8c5f35b.func_basic__t9m6563e,locked,gpt-5-router,7,7,2.521640636343318,7
pudo__dataset.5c2dc8d3.func_pm_remove_assign__wisytcfw,success,gpt-5-router,12,12,2.0464393446710156,10
pudo__dataset.5c2dc8d3.func_pm_ctrl_shuffle__fa7zi9o0,locked,gpt-5-router,12,12,1.295461844238322,10
pudo__dataset.5c2dc8d3.func_basic__sjq1iz0v,locked,gpt-5-router,15,15,1.1567796494470395,10
pudo__dataset.5c2dc8d3.func_basic__s6mewrqh,locked,gpt-5-router,12,12,1.6729330318733675,11
pwaller__pyfiglet.f8c5f35b.combine_file__sind222x,locked,gpt-5-router,19,19,1.5709505944546687,10
pudo__dataset.5c2dc8d3.func_basic__wxk5366k,locked,gpt-5-router,11,11,1.3609640474436813,10
pudo__dataset.5c2dc8d3.func_basic__3sq1t6fw,locked,gpt-5-router,8,8,1.061278124459133,8
pudo__dataset.5c2dc8d3.func_basic__87zlk3gs,locked,gpt-5-router,9,9,2.058813890331201,9
pudo__dataset.5c2dc8d3.func_basic__2ygbxps8,locked,gpt-5-router,7,7,2.2359263506290326,7
pudo__dataset.5c2dc8d3.func_basic__qt68n77p,locked,gpt-5-router,12,12,1.6854752972273344,10
pudo__dataset.5c2dc8d3.combine_file__sh0c31gp,locked,gpt-5-router,11,11,1.1567796494470395,10
prettytable__prettytable.ca90b055.lm_rewrite__ruund26i,locked,gpt-5-router,21,21,2.1709505944546685,10
pudo__dataset.5c2dc8d3.combine_file__09k00ucq,locked,gpt-5-router,10,10,1.6854752972273346,10
prettytable__prettytable.ca90b055.func_pm_ctrl_shuffle__kyp7jp9l,locked,gpt-5-router,13,13,1.1567796494470395,10
prettytable__prettytable.ca90b055.func_basic__qigxm2xs,locked,gpt-5-router,15,15,2.9219280948873623,10
prettytable__prettytable.ca90b055.func_basic__hpuhjc4w,locked,gpt-5-router,12,12,1.1567796494470395,10
prettytable__prettytable.ca90b055.func_basic__gdklo7ep,locked,gpt-5-router,9,9,2.197159723424149,9
prettytable__prettytable.ca90b055.lm_rewrite__f9ey1sar,locked,gpt-5-router,11,11,2.3709505944546683,10
prettytable__prettytable.ca90b055.func_basic__5oin09bg,locked,gpt-5-router,14,14,2.121928094887362,10
prettytable__prettytable.ca90b055.func_pm_ctrl_shuffle__uk1fz1qm,locked,gpt-5-router,18,18,2.9219280948873623,10
prettytable__prettytable.ca90b055.combine_module__lq649q3m,locked,gpt-5-router,16,16,0.8658566174572235,11
pndurette__gTTS.dbcda4f3.func_pm_ctrl_shuffle__5q1qgtx3,success,gpt-5-router,6,6,2.251629167387823,6
prettytable__prettytable.ca90b055.combine_module__bc3ah3qb,locked,gpt-5-router,8,8,2.5,8
pndurette__gTTS.dbcda4f3.func_pm_ctrl_shuffle__0luttjxp,success,gpt-5-router,9,9,2.725480556997868,9
pndurette__gTTS.dbcda4f3.lm_rewrite__817sej9o,success,gpt-5-router,7,7,1.3787834934861753,7
pndurette__gTTS.dbcda4f3.func_basic__rsaw05am,success,gpt-5-router,8,8,2.4056390622295662,8
pndurette__gTTS.dbcda4f3.combine_module__vvrjbapa,success,gpt-5-router,18,18,2.2464393446710154,10
pndurette__gTTS.dbcda4f3.func_basic__b0gzwqbd,success,gpt-5-router,11,11,1.9609640474436814,10
pndurette__gTTS.dbcda4f3.func_pm_class_rm_funcs__dkno0w00,success,gpt-5-router,8,8,2.1556390622295662,8
pndurette__gTTS.dbcda4f3.combine_file__926gg6w6,success,gpt-5-router,11,11,1.5709505944546687,10
pndurette__gTTS.dbcda4f3.combine_file__tg2rjx0h,success,gpt-5-router,7,6,1.9182958340544893,6
pndurette__gTTS.dbcda4f3.combine_module__1dpew46q,success,gpt-5-router,11,10,1.6854752972273344,10
pndurette__gTTS.dbcda4f3.combine_file__1zhoofcz,locked,gpt-5-router,10,10,2.321928094887362,10
pexpect__ptyprocess.1067dbda.func_pm_ctrl_shuffle__80usvwd2,success,gpt-5-router,13,12,1.9609640474436814,10
pexpect__ptyprocess.1067dbda.func_pm_ctrl_invert_if__6d2vg005,success,gpt-5-router,10,10,2.4464393446710155,10
pexpect__ptyprocess.1067dbda.func_basic__vykdimae,success,gpt-5-router,8,8,2.5,8
pexpect__ptyprocess.1067dbda.func_pm_class_rm_funcs__zb1cvzln,success,gpt-5-router,16,16,1.9609640474436814,10
pexpect__ptyprocess.1067dbda.func_pm_ctrl_invert_if__ujgscofd,success,gpt-5-router,11,10,2.1609640474436813,10
pexpect__ptyprocess.1067dbda.lm_rewrite__lux9tx9m,wandering,gpt-5-router,10,10,1.7609640474436812,10
pexpect__ptyprocess.1067dbda.func_basic__z0jqkuaw,locked,gpt-5-router,14,14,1.8464393446710154,10
pexpect__ptyprocess.1067dbda.func_basic__ao581c7h,success,gpt-5-router,7,7,2.5216406363433186,7
pexpect__ptyprocess.1067dbda.func_basic__6olomd3a,success,gpt-5-router,15,15,1.6171895725927152,11
pexpect__ptyprocess.1067dbda.combine_file__4zof05no,success,gpt-5-router,11,11,2.0464393446710156,10
pexpect__ptyprocess.1067dbda.combine_file__z9xh0tlg,success,gpt-5-router,11,11,2.0464393446710156,10
pdfminer__pdfminer.six.1a8bd2f7.func_basic__nr23x620,success,gpt-5-router,5,5,2.321928094887362,5
pdfminer__pdfminer.six.1a8bd2f7.func_pm_remove_assign__n7583a0a,success,gpt-5-router,18,18,1.8954618442383218,10
pdfminer__pdfminer.six.1a8bd2f7.func_pm_class_rm_base__7z7joz3s,success,gpt-5-router,13,11,2.321928094887362,10
pdfminer__pdfminer.six.1a8bd2f7.func_basic__q8cjk13r,wandering,gpt-5-router,24,24,2.1219280948873624,10
pdfminer__pdfminer.six.1a8bd2f7.func_basic__a45d2mkt,success,gpt-5-router,8,8,2.5,8
pdfminer__pdfminer.six.1a8bd2f7.func_basic__6azwhs9o,success,gpt-5-router,13,13,2.321928094887362,10
pdfminer__pdfminer.six.1a8bd2f7.func_pm_ctrl_shuffle__88eyw6mh,success,gpt-5-router,9,8,1.75,8
pdfminer__pdfminer.six.1a8bd2f7.func_basic__4xxfyfnb,success,gpt-5-router,6,6,2.584962500721156,6
pdfminer__pdfminer.six.1a8bd2f7.func_basic__2iwqnye4,success,gpt-5-router,18,18,2.321928094887362,10
pdfminer__pdfminer.six.1a8bd2f7.func_basic__aapxd9t3,success,gpt-5-router,5,5,2.321928094887362,5
pdfminer__pdfminer.six.1a8bd2f7.func_basic__3bfz7afq,success,gpt-5-router,9,9,2.4193819456463714,9
pandas-dev__pandas.95280573.func_pm_remove_cond__noidl7fk,wandering,gpt-5-router,10,10,1.1567796494470395,10
pandas-dev__pandas.95280573.pr_47504,locked,gpt-5-router,10,10,1.9609640474436814,10
pandas-dev__pandas.95280573.func_pm_remove_assign__p4xo74r4,locked,gpt-5-router,13,13,2.6464393446710153,10
pandas-dev__pandas.95280573.func_pm_ctrl_shuffle__4bkep0qz,locked,gpt-5-router,9,9,2.4193819456463714,9
pandas-dev__pandas.95280573.func_pm_remove_cond__nah2ho3a,wandering,gpt-5-router,17,17,0.9219280948873623,10
pandas-dev__pandas.95280573.func_pm_ctrl_invert_if__5lwn6c71,wandering,gpt-5-router,30,30,1.6854752972273346,10
paramiko__paramiko.23f92003.combine_file__vogrvz8o,wandering,gpt-5-router,26,25,1.7609640474436812,10
pandas-dev__pandas.95280573.func_pm_remove_assign__kz178ntn,locked,gpt-5-router,10,10,1.8464393446710154,10
pandas-dev__pandas.95280573.func_pm_ctrl_invert_if__loag0pd8,locked,gpt-5-router,9,9,2.4193819456463714,9
pandas-dev__pandas.95280573.func_pm_remove_assign__xh25hall,locked,gpt-5-router,9,8,1.2987949406953985,8
pandas-dev__pandas.95280573.func_pm_class_rm_base__d8zh8d1p,locked,gpt-5-router,8,8,2.1556390622295662,8
pandas-dev__pandas.95280573.combine_file__ut37srd8,locked,gpt-5-router,23,23,2.9219280948873623,10
pallets__markupsafe.620c06c9.pr_418,locked,gpt-5-router,8,8,2.4056390622295662,8
pallets__markupsafe.620c06c9.pr_348,locked,gpt-5-router,11,11,2.4464393446710155,10
pallets__markupsafe.620c06c9.pr_469,locked,gpt-5-router,10,10,2.1709505944546685,10
