iid,sub_class,model,n_msgs,n_turns_extracted,tool_entropy_last10,n_tools_last10
marshmallow-code__webargs.dbde72fe.lm_rewrite__k8s69757,success,claude-3-7-sonnet-20250219,67,33,1.5709505944546687,10
jd__tenacity.0d40e76f.lm_rewrite__xbzswi9a,wandering,claude-3-7-sonnet-20250219,41,20,0.7219280948873623,10
martinblech__xmltodict.0952f382.lm_rewrite__q6x1c25t,success,claude-3-7-sonnet-20250219,77,38,1.7609640474436812,10
oauthlib__oauthlib.1fd52536.lm_rewrite__8hb7taq9,success,claude-3-7-sonnet-20250219,33,16,1.9219280948873623,10
pyupio__safety.7654596b.lm_rewrite__pp28o0j3,wandering,claude-3-7-sonnet-20250219,53,26,2.2464393446710154,10
gruns__furl.da386f68.lm_rewrite__4oimg7e0,wandering,claude-3-7-sonnet-20250219,73,36,1.9219280948873623,10
scanny__python-pptx.278b47b1.lm_rewrite__huwa2x7r,wandering,claude-3-7-sonnet-20250219,143,71,1.1567796494470395,10
andialbrecht__sqlparse.e57923b3.lm_rewrite__n19hsh7s,wandering,claude-3-7-sonnet-20250219,67,33,1.4854752972273344,10
python-jsonschema__jsonschema.93e0caa5.lm_rewrite__3hn9c0ns,success,claude-3-7-sonnet-20250219,67,33,1.9609640474436814,10
scanny__python-pptx.278b47b1.lm_rewrite__zus76w64,wandering,claude-3-7-sonnet-20250219,39,19,1.7609640474436812,10
kurtmckee__feedparser.cad965a3.lm_rewrite__4dlez5tv,success,claude-3-7-sonnet-20250219,83,41,2.1219280948873624,10
tkrajina__gpxpy.09fc46b3.lm_rewrite__c5y86i0z,wandering,claude-3-7-sonnet-20250219,125,62,1.7609640474436812,10
encode__starlette.db5063c2.lm_rewrite__u52tll1j,success,claude-3-7-sonnet-20250219,65,32,1.5709505944546687,10
mahmoud__glom.fb3c4e76.lm_rewrite__lswu0lho,success,claude-3-7-sonnet-20250219,67,33,1.4854752972273344,10
kayak__pypika.1c9646f0.lm_rewrite__ol3rhmbv,success,claude-3-7-sonnet-20250219,75,37,1.5219280948873621,10
paramiko__paramiko.23f92003.lm_rewrite__ekwh2bqe,success,claude-3-7-sonnet-20250219,31,15,1.5709505944546687,10
python-trio__trio.cfbbe2c1.lm_rewrite__c60ts23f,success,claude-3-7-sonnet-20250219,43,21,1.7609640474436812,10
graphql-python__graphene.82903263.lm_rewrite__a8wei4e8,success,claude-3-7-sonnet-20250219,119,59,1.8464393446710154,10
lincolnloop__python-qrcode.456b01d4.lm_rewrite__t3ytr47t,wandering,claude-3-7-sonnet-20250219,37,18,1.7609640474436812,10
python-hyper__h11.bed0dd4a.lm_rewrite__wvo8btyi,wandering,claude-3-7-sonnet-20250219,63,31,1.7609640474436812,10
prettytable__prettytable.ca90b055.lm_rewrite__p4d1qqys,wandering,claude-3-7-sonnet-20250219,77,38,1.5219280948873621,10
matthewwithanm__python-markdownify.6258f5c3.lm_rewrite__7w02cnfp,wandering,claude-3-7-sonnet-20250219,39,19,1.7609640474436812,10
jd__tenacity.0d40e76f.lm_rewrite__0siuyh3e,wandering,claude-3-7-sonnet-20250219,53,26,1.7609640474436812,10
lincolnloop__python-qrcode.456b01d4.lm_rewrite__jska1t6u,success,claude-3-7-sonnet-20250219,43,21,1.7609640474436812,10
django-money__django-money.835c1ab8.lm_rewrite__37szs5s4,success,claude-3-7-sonnet-20250219,35,17,1.5709505944546687,10
cantools__cantools.0c6a7871.lm_rewrite__z8sdi30b,success,claude-3-7-sonnet-20250219,61,30,1.5709505944546687,10
rubik__radon.54b88e58.lm_rewrite__xw4tbd7e,success,claude-3-7-sonnet-20250219,59,29,1.8464393446710154,10
joke2k__faker.8b401a7d.lm_rewrite__woaxwxaz,wandering,claude-3-7-sonnet-20250219,49,24,1.7609640474436812,10
cookiecutter__cookiecutter.b4451231.lm_rewrite__a0s5c205,success,claude-3-7-sonnet-20250219,65,32,1.1567796494470395,10
encode__starlette.db5063c2.lm_rewrite__eyotssxh,success,claude-3-7-sonnet-20250219,63,31,1.4854752972273344,10
seatgeek__thefuzz.8a05a3ee.lm_rewrite__q0es2np4,locked,claude-3-7-sonnet-20250219,29,14,1.5709505944546687,10
encode__starlette.db5063c2.lm_rewrite__xe3h313f,wandering,claude-3-7-sonnet-20250219,49,24,1.4854752972273344,10
pandas-dev__pandas.95280573.lm_rewrite__5sfk3qjf,success,claude-3-7-sonnet-20250219,41,20,1.5219280948873621,10
agronholm__typeguard.b6a7e438.lm_rewrite__f4wpz3g8,success,claude-3-7-sonnet-20250219,65,32,1.3709505944546687,10
encode__starlette.db5063c2.lm_rewrite__ls6ah118,success,claude-3-7-sonnet-20250219,71,35,1.5709505944546687,10
cookiecutter__cookiecutter.b4451231.lm_rewrite__4jcshf54,wandering,claude-3-7-sonnet-20250219,95,47,1.7609640474436812,10
agronholm__typeguard.b6a7e438.lm_rewrite__4zrtc4ic,success,claude-3-7-sonnet-20250219,137,68,1.3709505944546687,10
cookiecutter__cookiecutter.b4451231.lm_rewrite__byoy8vaf,wandering,claude-3-7-sonnet-20250219,61,30,1.8464393446710154,10
marshmallow-code__apispec.8b421526.lm_rewrite__nxewsqrh,success,claude-3-7-sonnet-20250219,85,42,1.7609640474436812,10
django-money__django-money.835c1ab8.lm_rewrite__35iodhzx,wandering,claude-3-7-sonnet-20250219,77,38,1.7609640474436812,10
agronholm__exceptiongroup.0b4f4937.lm_rewrite__f9wbpgqd,wandering,claude-3-7-sonnet-20250219,79,39,1.7609640474436812,10
mahmoud__glom.fb3c4e76.lm_rewrite__6kpono14,wandering,claude-3-7-sonnet-20250219,35,17,1.7609640474436812,10
andialbrecht__sqlparse.e57923b3.lm_rewrite__mkqk9f9r,wandering,claude-3-7-sonnet-20250219,35,17,1.7609640474436812,10
luozhouyang__python-string-similarity.115acaac.lm_rewrite__09f4u7g9,success,claude-3-7-sonnet-20250219,81,40,1.7609640474436812,10
dask__dask.5f61e423.lm_rewrite__mkfjcfha,locked,claude-3-7-sonnet-20250219,35,17,1.7609640474436812,10
andialbrecht__sqlparse.e57923b3.lm_rewrite__5d1rrvu5,success,claude-3-7-sonnet-20250219,51,25,1.9609640474436814,10
pydantic__pydantic.acb0f10f.lm_rewrite__sctbxyh4,wandering,claude-3-7-sonnet-20250219,133,66,1.8954618442383218,10
cookiecutter__cookiecutter.b4451231.lm_rewrite__gsks0ek9,locked,claude-3-7-sonnet-20250219,51,25,1.7609640474436812,10
msiemens__tinydb.10644a0e.lm_rewrite__6s8pi0l7,success,claude-3-7-sonnet-20250219,45,22,1.8464393446710154,10
pyasn1__pyasn1.0f07d724.lm_rewrite__fbiy4cj6,wandering,claude-3-7-sonnet-20250219,37,18,2.1219280948873624,10
tox-dev__pipdeptree.c31b6418.lm_rewrite__436jwp21,success,claude-3-7-sonnet-20250219,73,36,1.9219280948873623,10
pydicom__pydicom.7d361b3d.lm_rewrite__s5eki98r,success,claude-3-7-sonnet-20250219,33,16,1.9609640474436814,10
jaraco__inflect.c079a96a.lm_rewrite__p0p84e1g,success,claude-3-7-sonnet-20250219,65,32,1.7609640474436812,10
Suor__funcy.207a7810.lm_rewrite__cgxzrbzd,success,claude-3-7-sonnet-20250219,39,19,1.3709505944546687,10
marshmallow-code__apispec.8b421526.lm_rewrite__0qho0dmb,success,claude-3-7-sonnet-20250219,29,14,2.1219280948873624,10
agronholm__typeguard.b6a7e438.lm_rewrite__6hb5khg9,success,claude-3-7-sonnet-20250219,29,14,1.5709505944546687,10
tkrajina__gpxpy.09fc46b3.lm_rewrite__3owrfnwu,locked,claude-3-7-sonnet-20250219,111,55,1.3709505944546687,10
seperman__deepdiff.ed252022.lm_rewrite__vdnxsrqq,success,claude-3-7-sonnet-20250219,73,36,1.5709505944546687,10
mahmoud__glom.fb3c4e76.lm_rewrite__ydtusybj,success,claude-3-7-sonnet-20250219,73,36,1.7609640474436812,10
tkrajina__gpxpy.09fc46b3.lm_rewrite__xpey2wsg,success,claude-3-7-sonnet-20250219,85,42,1.1567796494470395,10
facelessuser__soupsieve.a8080d97.lm_rewrite__780yojjh,wandering,claude-3-7-sonnet-20250219,85,42,1.4854752972273344,10
agronholm__typeguard.b6a7e438.lm_rewrite__6l7stksw,wandering,claude-3-7-sonnet-20250219,51,25,1.7609640474436812,10
rubik__radon.54b88e58.lm_rewrite__8ujf94lm,wandering,claude-3-7-sonnet-20250219,75,37,1.8464393446710154,10
facebookresearch__fvcore.a491d5b9.lm_rewrite__yldgp998,wandering,claude-3-7-sonnet-20250219,91,45,1.4854752972273344,10
pydicom__pydicom.7d361b3d.lm_rewrite__z6w6qfsr,success,claude-3-7-sonnet-20250219,49,24,1.4854752972273344,10
joke2k__faker.8b401a7d.lm_rewrite__xipiflqy,success,claude-3-7-sonnet-20250219,23,11,2.1219280948873624,10
un33k__python-slugify.872b3750.lm_rewrite__kidne8vn,wandering,claude-3-7-sonnet-20250219,35,17,1.7609640474436812,10
pydata__patsy.a5d16484.lm_rewrite__35zbdp36,wandering,claude-3-7-sonnet-20250219,35,17,2.170950594454669,10
alecthomas__voluptuous.a7a55f83.lm_rewrite__nvi66qd6,success,claude-3-7-sonnet-20250219,33,16,1.7609640474436812,10
gweis__isodate.17cb25eb.lm_rewrite__h9jwn0f5,success,claude-3-7-sonnet-20250219,37,18,1.5709505944546687,10
pudo__dataset.5c2dc8d3.lm_rewrite__kfvgfr32,wandering,claude-3-7-sonnet-20250219,53,26,1.3709505944546687,10
gruns__furl.da386f68.lm_rewrite__urvoitua,locked,claude-3-7-sonnet-20250219,49,24,1.7609640474436812,10
r1chardj0n3s__parse.30da9e4f.lm_rewrite__c7o7ez5s,wandering,claude-3-7-sonnet-20250219,71,35,1.9609640474436814,10
mahmoud__glom.fb3c4e76.lm_rewrite__w46kght8,wandering,claude-3-7-sonnet-20250219,73,36,1.4854752972273344,10
mido__mido.a0158ff9.lm_rewrite__a6z2jqfa,success,claude-3-7-sonnet-20250219,77,38,2.1709505944546685,10
jd__tenacity.0d40e76f.lm_rewrite__0kf0yphx,wandering,claude-3-7-sonnet-20250219,59,29,1.7609640474436812,10
hukkin__tomli.443a0c1b.lm_rewrite__lsfxpz35,locked,claude-3-7-sonnet-20250219,43,21,1.7609640474436812,10
pndurette__gTTS.dbcda4f3.lm_rewrite__6rfwvuvo,success,claude-3-7-sonnet-20250219,41,20,0.7219280948873623,10
pudo__dataset.5c2dc8d3.lm_rewrite__yhnstbok,success,claude-3-7-sonnet-20250219,37,18,1.7609640474436812,10
dask__dask.5f61e423.lm_rewrite__ffikl1dk,wandering,claude-3-7-sonnet-20250219,79,39,1.7609640474436812,10
mido__mido.a0158ff9.lm_rewrite__surq1kqz,success,claude-3-7-sonnet-20250219,27,13,2.1219280948873624,10
jawah__charset_normalizer.1fdd6463.lm_rewrite__7t1ju4wj,wandering,claude-3-7-sonnet-20250219,57,28,0.7219280948873623,10
madzak__python-json-logger.5f85723f.lm_rewrite__cb3vrzvy,success,claude-3-7-sonnet-20250219,31,15,1.9609640474436814,10
oauthlib__oauthlib.1fd52536.lm_rewrite__ay64fhi1,success,claude-3-7-sonnet-20250219,115,57,1.1567796494470395,10
Mimino666__langdetect.a1598f1a.lm_rewrite__4ump9qgc,success,claude-3-7-sonnet-20250219,29,14,1.4854752972273344,10
django-money__django-money.835c1ab8.lm_rewrite__hp5ijia6,success,claude-3-7-sonnet-20250219,97,48,1.4854752972273344,10
PyCQA__flake8.cf1542ce.lm_rewrite__vg5vcbhm,wandering,claude-3-7-sonnet-20250219,205,102,1.7609640474436812,10
pylint-dev__astroid.b114f6b5.lm_rewrite__j5ti37aw,success,claude-3-7-sonnet-20250219,57,28,1.1567796494470395,10
jaraco__inflect.c079a96a.lm_rewrite__r0pbjnyd,success,claude-3-7-sonnet-20250219,63,31,1.8464393446710154,10
pyupio__safety.7654596b.lm_rewrite__f5e69fz3,success,claude-3-7-sonnet-20250219,101,50,1.4854752972273344,10
tornadoweb__tornado.d5ac65c1.lm_rewrite__nfjz5uuu,wandering,claude-3-7-sonnet-20250219,65,32,1.4854752972273344,10
iterative__dvc.1d6ea681.lm_rewrite__b51etatr,wandering,claude-3-7-sonnet-20250219,95,47,2.246439344671016,10
jaraco__inflect.c079a96a.lm_rewrite__q2cd2vc3,wandering,claude-3-7-sonnet-20250219,119,59,1.4854752972273344,10
seperman__deepdiff.ed252022.lm_rewrite__zoykymxx,success,claude-3-7-sonnet-20250219,101,50,1.7609640474436812,10
andialbrecht__sqlparse.e57923b3.lm_rewrite__mj94ygtt,success,claude-3-7-sonnet-20250219,157,78,0.9219280948873623,10
jaraco__inflect.c079a96a.lm_rewrite__m3q9izov,wandering,claude-3-7-sonnet-20250219,67,33,1.3709505944546687,10
gawel__pyquery.811cd048.lm_rewrite__o1v2xcun,wandering,claude-3-7-sonnet-20250219,93,45,0.9709505944546686,10
seperman__deepdiff.ed252022.lm_rewrite__kefzsgln,wandering,claude-3-7-sonnet-20250219,191,95,1.8464393446710154,10
mahmoud__boltons.3bfcfdd0.lm_rewrite__or6ab7bk,wandering,claude-3-7-sonnet-20250219,43,21,1.4854752972273344,10
pyupio__safety.7654596b.combine_file__e5r40nb1,wandering,claude-3-7-sonnet-20250219,79,39,1.4854752972273344,10
andialbrecht__sqlparse.e57923b3.combine_file__kep88kh8,wandering,claude-3-7-sonnet-20250219,41,20,1.8464393446710154,10
arrow-py__arrow.1d70d009.combine_file__tkx07b29,wandering,claude-3-7-sonnet-20250219,101,50,1.8464393446710154,10
gawel__pyquery.811cd048.lm_rewrite__48wsfffr,wandering,claude-3-7-sonnet-20250219,65,32,1.7609640474436812,10
kurtmckee__feedparser.cad965a3.combine_file__m3zdgk85,wandering,claude-3-7-sonnet-20250219,61,30,1.4854752972273344,10
pyupio__safety.7654596b.combine_module__lc1u25d4,wandering,claude-3-7-sonnet-20250219,101,50,1.7609640474436812,10
lepture__mistune.bf54ef67.combine_file__kci03ucu,success,claude-3-7-sonnet-20250219,143,71,1.5709505944546687,10
lepture__mistune.bf54ef67.combine_file__zk9xo9cy,wandering,claude-3-7-sonnet-20250219,129,64,2.046439344671015,10
pyupio__safety.7654596b.combine_file__ve70248y,wandering,claude-3-7-sonnet-20250219,93,46,1.5709505944546687,10
iterative__dvc.1d6ea681.lm_rewrite__4h34bsm4,wandering,claude-3-7-sonnet-20250219,61,30,1.8464393446710154,10
iterative__dvc.1d6ea681.pr_9014,wandering,claude-3-7-sonnet-20250219,89,44,1.5709505944546687,10
benoitc__gunicorn.bacbf8aa.combine_file__rhus6kr4,locked,claude-3-7-sonnet-20250219,31,15,1.8464393446710154,10
lepture__mistune.bf54ef67.combine_file__2su53ra7,wandering,claude-3-7-sonnet-20250219,43,21,2.1219280948873624,10
cantools__cantools.0c6a7871.combine_file__g9iat1w4,wandering,claude-3-7-sonnet-20250219,61,30,2.1219280948873624,10
tox-dev__pipdeptree.c31b6418.pr_318,wandering,claude-3-7-sonnet-20250219,69,34,1.3709505944546687,10
getmoto__moto.694ce1f4.pr_7511,wandering,claude-3-7-sonnet-20250219,71,35,1.5709505944546687,10
pyupio__safety.7654596b.lm_rewrite__uxqw3kes,wandering,claude-3-7-sonnet-20250219,73,36,1.4854752972273344,10
iterative__dvc.1d6ea681.pr_9601,wandering,claude-3-7-sonnet-20250219,73,36,1.8464393446710154,10
davidhalter__parso.338a5760.combine_file__z33xcvry,locked,claude-3-7-sonnet-20250219,153,76,1.6854752972273346,10
pallets__flask.bc098406.combine_file__icyqywua,locked,claude-3-7-sonnet-20250219,153,76,0.9219280948873623,10
andialbrecht__sqlparse.e57923b3.combine_file__gclrk0qy,wandering,claude-3-7-sonnet-20250219,149,74,1.6854752972273344,10
agronholm__exceptiongroup.0b4f4937.combine_file__mw63j2hd,locked,claude-3-7-sonnet-20250219,153,76,2.0464393446710156,10
chardet__chardet.9630f238.func_basic__yv3a0481,wandering,claude-3-7-sonnet-20250219,93,46,1.5709505944546687,10
davidhalter__parso.338a5760.combine_file__pbsxmvpg,wandering,claude-3-7-sonnet-20250219,151,75,1.4854752972273344,10
kurtmckee__feedparser.cad965a3.combine_file__fs36oovz,wandering,claude-3-7-sonnet-20250219,75,37,1.5709505944546687,10
PyCQA__flake8.cf1542ce.combine_file__lrtto2cu,wandering,claude-3-7-sonnet-20250219,153,76,1.3609640474436813,10
conan-io__conan.86f29e13.pr_16412,wandering,claude-3-7-sonnet-20250219,125,62,1.8464393446710154,10
conan-io__conan.86f29e13.pr_17642,success,claude-3-7-sonnet-20250219,129,64,1.1567796494470395,10
PyCQA__flake8.cf1542ce.combine_file__knaurfrv,wandering,claude-3-7-sonnet-20250219,137,68,1.1567796494470395,10
conan-io__conan.86f29e13.pr_15845,success,claude-3-7-sonnet-20250219,89,44,1.9219280948873623,10
pyutils__line_profiler.a646bf0f.combine_file__u1t0q9i8,wandering,claude-3-7-sonnet-20250219,49,24,1.4854752972273344,10
pydicom__pydicom.7d361b3d.lm_rewrite__fgjtocjm,wandering,claude-3-7-sonnet-20250219,79,39,1.7609640474436812,10
amueller__word_cloud.ec24191c.combine_file__9bx7cdni,wandering,claude-3-7-sonnet-20250219,47,23,2.1219280948873624,10
cool-RR__PySnooper.57472b46.combine_file__kaskithn,locked,claude-3-7-sonnet-20250219,65,32,2.1219280948873624,10
kurtmckee__feedparser.cad965a3.combine_file__i2c14njk,wandering,claude-3-7-sonnet-20250219,67,33,1.8464393446710154,10
joke2k__faker.8b401a7d.lm_rewrite__351y11fn,wandering,claude-3-7-sonnet-20250219,63,31,1.7609640474436812,10
dask__dask.5f61e423.pr_10042,wandering,claude-3-7-sonnet-20250219,49,24,1.8464393446710154,10
python-hyper__h11.bed0dd4a.combine_file__wn3l6q9b,wandering,claude-3-7-sonnet-20250219,87,43,1.9219280948873623,10
pylint-dev__astroid.b114f6b5.pr_2438,locked,claude-3-7-sonnet-20250219,61,30,1.5219280948873621,10
pyupio__safety.7654596b.combine_file__vtudncut,wandering,claude-3-7-sonnet-20250219,81,40,1.3709505944546687,10
davidhalter__parso.338a5760.combine_file__uclx71ar,wandering,claude-3-7-sonnet-20250219,53,26,2.1219280948873624,10
iterative__dvc.1d6ea681.pr_9046,wandering,claude-3-7-sonnet-20250219,131,65,1.7609640474436812,10
lepture__mistune.bf54ef67.combine_file__27rr3nzg,wandering,claude-3-7-sonnet-20250219,61,30,1.7609640474436812,10
pydata__patsy.a5d16484.lm_rewrite__y74p1prm,wandering,claude-3-7-sonnet-20250219,37,18,2.1219280948873624,10
getmoto__moto.694ce1f4.pr_8164,success,claude-3-7-sonnet-20250219,85,42,1.1567796494470395,10
conan-io__conan.86f29e13.pr_16415,locked,claude-3-7-sonnet-20250219,79,39,1.8464393446710154,10
dbader__schedule.82a43db1.pr_623,locked,claude-3-7-sonnet-20250219,39,19,1.8464393446710154,10
pyupio__safety.7654596b.combine_module__uhxsb0lx,wandering,claude-3-7-sonnet-20250219,49,24,1.7609640474436812,10
mozillazg__python-pinyin.e42dede5.combine_file__nd2agzcf,wandering,claude-3-7-sonnet-20250219,53,26,1.9219280948873623,10
keleshev__schema.24a30457.lm_rewrite__aj7k3pzh,wandering,claude-3-7-sonnet-20250219,45,22,1.7609640474436812,10
conan-io__conan.86f29e13.pr_17092,wandering,claude-3-7-sonnet-20250219,111,55,1.6854752972273346,10
pyparsing__pyparsing.533adf47.combine_file__jo4t4ldj,wandering,claude-3-7-sonnet-20250219,81,40,1.1567796494470395,10
pallets__flask.bc098406.combine_file__dvhzya34,wandering,claude-3-7-sonnet-20250219,123,61,0.9219280948873623,10
theskumar__python-dotenv.2b8635b7.combine_file__m5356x50,wandering,claude-3-7-sonnet-20250219,37,18,1.9219280948873623,10
conan-io__conan.86f29e13.pr_13757,wandering,claude-3-7-sonnet-20250219,97,48,1.9709505944546686,10
iterative__dvc.1d6ea681.pr_9165,wandering,claude-3-7-sonnet-20250219,91,45,1.7609640474436812,10
mozillazg__python-pinyin.e42dede5.combine_file__d3iickno,locked,claude-3-7-sonnet-20250219,85,42,1.9219280948873623,10
pyparsing__pyparsing.533adf47.combine_file__8ryl6tk3,wandering,claude-3-7-sonnet-20250219,133,66,1.7219280948873623,10
iterative__dvc.1d6ea681.pr_9712,wandering,claude-3-7-sonnet-20250219,77,38,1.8464393446710154,10
matthewwithanm__python-markdownify.6258f5c3.pr_152,wandering,claude-3-7-sonnet-20250219,89,44,1.8464393446710154,10
lepture__mistune.bf54ef67.combine_file__uruxr3hm,wandering,claude-3-7-sonnet-20250219,91,45,1.7609640474436812,10
conan-io__conan.86f29e13.pr_11348,locked,claude-3-7-sonnet-20250219,101,50,1.7609640474436812,10
gawel__pyquery.811cd048.lm_rewrite__011t8oh6,locked,claude-3-7-sonnet-20250219,153,76,1.7219280948873623,10
mahmoud__glom.fb3c4e76.combine_file__vefrzb46,wandering,claude-3-7-sonnet-20250219,103,51,1.7609640474436812,10
davidhalter__parso.338a5760.combine_file__v9lb4yq7,locked,claude-3-7-sonnet-20250219,75,37,2.1219280948873624,10
cantools__cantools.0c6a7871.combine_file__0c0d76py,wandering,claude-3-7-sonnet-20250219,83,41,1.4854752972273344,10
arrow-py__arrow.1d70d009.combine_file__p0s8e5m6,wandering,claude-3-7-sonnet-20250219,37,18,1.7609640474436812,10
pallets__flask.bc098406.combine_file__izzofpdv,locked,claude-3-7-sonnet-20250219,77,38,1.1567796494470395,10
conan-io__conan.86f29e13.pr_13623,wandering,claude-3-7-sonnet-20250219,41,20,1.8464393446710154,10
tkrajina__gpxpy.09fc46b3.lm_rewrite__9a87tiqc,locked,claude-3-7-sonnet-20250219,59,29,1.7609640474436812,10
agronholm__typeguard.b6a7e438.func_pm_remove_cond__oyi7r6tv,locked,claude-3-7-sonnet-20250219,93,46,1.7609640474436812,10
cantools__cantools.0c6a7871.combine_module__94v6dlji,wandering,claude-3-7-sonnet-20250219,53,26,2.1219280948873624,10
jd__tenacity.0d40e76f.combine_file__l80x0v9y,wandering,claude-3-7-sonnet-20250219,63,31,1.4854752972273344,10
getmoto__moto.694ce1f4.pr_7704,locked,claude-3-7-sonnet-20250219,127,63,1.1567796494470395,10
getmoto__moto.694ce1f4.pr_5612,wandering,claude-3-7-sonnet-20250219,85,42,1.7609640474436812,10
dask__dask.5f61e423.lm_rewrite__9evketl7,locked,claude-3-7-sonnet-20250219,87,43,1.3709505944546687,10
pydata__patsy.a5d16484.lm_rewrite__xuo1597r,wandering,claude-3-7-sonnet-20250219,47,23,1.4854752972273344,10
getmoto__moto.694ce1f4.pr_5273,wandering,claude-3-7-sonnet-20250219,153,76,2.0464393446710156,10
pwaller__pyfiglet.f8c5f35b.lm_rewrite__l2t3kb1j,wandering,claude-3-7-sonnet-20250219,153,76,1.7219280948873623,10
cantools__cantools.0c6a7871.combine_file__gvz4t0s9,wandering,claude-3-7-sonnet-20250219,121,60,1.3709505944546687,10
cool-RR__PySnooper.57472b46.combine_file__qp7tpqm2,wandering,claude-3-7-sonnet-20250219,87,43,1.7609640474436812,10
lepture__mistune.bf54ef67.combine_file__fki1yo9w,wandering,claude-3-7-sonnet-20250219,99,49,1.7609640474436812,10
oauthlib__oauthlib.1fd52536.combine_file__r97sd6ry,wandering,claude-3-7-sonnet-20250219,47,23,1.8464393446710154,10
john-kurkowski__tldextract.3d1bf184.combine_file__le2xlygk,locked,claude-3-7-sonnet-20250219,109,54,1.5709505944546687,10
pudo__dataset.5c2dc8d3.combine_file__lltfzw0k,wandering,claude-3-7-sonnet-20250219,47,23,2.1219280948873624,10
conan-io__conan.86f29e13.pr_11318,wandering,claude-3-7-sonnet-20250219,151,75,1.8954618442383218,10
tkrajina__gpxpy.09fc46b3.combine_file__7r5pxkmp,wandering,claude-3-7-sonnet-20250219,57,28,1.4854752972273344,10
iterative__dvc.1d6ea681.pr_9533,locked,claude-3-7-sonnet-20250219,67,33,1.8464393446710154,10
lepture__mistune.bf54ef67.combine_file__4tbz1hst,wandering,claude-3-7-sonnet-20250219,63,31,2.170950594454669,10
conan-io__conan.86f29e13.pr_14727,success,claude-3-7-sonnet-20250219,77,38,1.7609640474436812,10
pallets__click.fde47b4b.combine_file__0z47r0v8,locked,claude-3-7-sonnet-20250219,79,39,1.5709505944546687,10
lincolnloop__python-qrcode.456b01d4.lm_rewrite__8qrk4jfz,wandering,claude-3-7-sonnet-20250219,55,27,1.7609640474436812,10
conan-io__conan.86f29e13.pr_13729,locked,claude-3-7-sonnet-20250219,95,47,1.7609640474436812,10
pyupio__safety.7654596b.combine_file__yt8lbspp,wandering,claude-3-7-sonnet-20250219,43,21,1.7609640474436812,10
getnikola__nikola.0f4c230e.func_pm_remove_assign__k6txb7jm,locked,claude-3-7-sonnet-20250219,141,70,2.1709505944546685,10
pallets__flask.bc098406.combine_file__9ujwb2tc,wandering,claude-3-7-sonnet-20250219,85,42,1.8464393446710154,10
python-jsonschema__jsonschema.93e0caa5.combine_file__jwo6u5w7,wandering,claude-3-7-sonnet-20250219,43,21,1.4854752972273344,10
iterative__dvc.1d6ea681.pr_10359,wandering,claude-3-7-sonnet-20250219,103,51,1.1567796494470395,10
kurtmckee__feedparser.cad965a3.combine_file__tr476l10,wandering,claude-3-7-sonnet-20250219,57,28,2.1219280948873624,10
dask__dask.5f61e423.func_pm_remove_cond__pvf6uaap,locked,claude-3-7-sonnet-20250219,55,27,1.7609640474436812,10
getmoto__moto.694ce1f4.pr_8491,locked,claude-3-7-sonnet-20250219,53,26,1.7609640474436812,10
pyupio__safety.7654596b.combine_module__edylax07,wandering,claude-3-7-sonnet-20250219,45,22,1.7609640474436812,10
andialbrecht__sqlparse.e57923b3.combine_file__2fz8wxs9,locked,claude-3-7-sonnet-20250219,37,18,1.8464393446710154,10
python-trio__trio.cfbbe2c1.pr_3017,locked,claude-3-7-sonnet-20250219,57,28,1.7609640474436812,10
cantools__cantools.0c6a7871.combine_file__m0i5j1cg,wandering,claude-3-7-sonnet-20250219,115,57,1.8464393446710154,10
mahmoud__glom.fb3c4e76.combine_file__apwtp94w,success,claude-3-7-sonnet-20250219,55,27,1.7609640474436812,10
pdfminer__pdfminer.six.1a8bd2f7.lm_rewrite__0yn4h9ra,success,claude-3-7-sonnet-20250219,125,62,0.7219280948873623,10
tweepy__tweepy.91a41c6e.combine_file__eh14dsvt,wandering,claude-3-7-sonnet-20250219,69,34,1.5219280948873621,10
facebookresearch__hydra.0f03eb60.pr_2098,wandering,claude-3-7-sonnet-20250219,153,76,1.5709505944546687,10
oauthlib__oauthlib.1fd52536.combine_file__4989os43,wandering,claude-3-7-sonnet-20250219,55,27,1.7609640474436812,10
cknd__stackprinter.219fcc52.lm_rewrite__n9kv7m17,locked,claude-3-7-sonnet-20250219,53,26,1.5709505944546687,10
oauthlib__oauthlib.1fd52536.combine_file__vya9r8qy,wandering,claude-3-7-sonnet-20250219,153,76,1.7219280948873623,10
pyupio__safety.7654596b.combine_file__3oso2p08,wandering,claude-3-7-sonnet-20250219,55,27,2.1219280948873624,10
pyupio__safety.7654596b.combine_file__sbf8hcsg,wandering,claude-3-7-sonnet-20250219,55,27,2.1219280948873624,10
tox-dev__pipdeptree.c31b6418.func_basic__biidftjq,wandering,claude-3-7-sonnet-20250219,61,30,1.7609640474436812,10
cknd__stackprinter.219fcc52.combine_file__e6q4r13i,locked,claude-3-7-sonnet-20250219,61,30,2.1219280948873624,10
pydata__patsy.a5d16484.lm_rewrite__sj4hi41y,locked,claude-3-7-sonnet-20250219,153,76,1.1567796494470395,10
adrienverge__yamllint.8513d9b9.combine_file__2usnc4qn,wandering,claude-3-7-sonnet-20250219,89,44,1.5219280948873621,10
davidhalter__parso.338a5760.combine_file__q8idum3n,locked,claude-3-7-sonnet-20250219,105,52,1.9609640474436814,10
